成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
5−ジスルホン酸塩,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,ACE阻害薬,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,ARB,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,DL−カルニチン塩化物,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,DL−カルニチン塩化物,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−カルニチン塩化物,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,DL−メチオニン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,DL−メチオニン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−メチオニン,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,DL−塩化カルニチン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,DL−塩化カルニチン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
DL−塩化カルニチン,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−アスコルビン酸,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−アスコルビン酸,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−アスコルビン酸,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−アスコルビン酸,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,L−アスコルビン酸,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,L−アスコルビン酸,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−アスコルビン酸,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−アスコルビン酸,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−アスコルビン酸,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−アスコルビン酸,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−アスコルビン酸,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
L−アスコルビン酸,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
L−アスコルビン酸,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
