製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
ストーゼ胃腸内服液,東宝製薬,第2類,胃腸薬,食欲減退,"成人(15歳以上)1回1瓶(30mL)を1日2回服用する
服用間隔は4時間以上おくこと
15歳未満は服用しないでください
用法・用量を厳守してください",15,"ウイキョウ流エキス
エンゴサク流エキス
カルニチン塩化物
キジツエキス
ゲンチアナ流エキス
ショウキョウ流エキス
ソウジュツ流エキス
ニンジンエキス",禁止物質なし,,
太田胃散<内服液>,日新薬品工業,第2類,胃腸薬,二日酔のむかつき・悪酔のむかつき、胃のむかつき、悪心,"成人(15歳以上)1日1回、1本を食前、食後又は就寝前に服用してください
15歳未満は服用しないでください
生薬成分を含むため、沈殿を生じることがありますが、品質に影響はありませんよく振ってから服用してください",15,"ウイキョウ流エキス
カルニチン塩化物
カンゾウ抽出物
ケイヒ流エキス
ゲンチアナ流エキス
コウボク流エキス
ショウキョウ流エキス
ソウジュツ流エキス
チョウジエキス
チンピエキス
モッコウエキス",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,
ガロール健芯液,健創製薬,第2類,胃腸薬,むかつき、二日酔のむかつき・悪酔のむかつき、悪心,"次の1回量を1日3回を限度として服用する
但し、服用間隔は4時間以上おくこと
成人(15歳以上):1回1本
15歳未満:服用しないこと",15,"カッコウ抽出液
カンゾウエキス
ケイヒ流エキス
ショウキョウ流エキス
ニンジンエキス
ビャクジュツエキス
塩化カルニチン
胆汁エキス",禁止物質なし,,
パンシロンソフトベール,ロート製薬,第2類,胃腸薬,むかつき、嘔気、悪心,"次の量を食後に水又はお湯で服用すること
15歳以上:1回1カプセル
1日3回服用
15歳未満:服用しないこと
<用法・用量に関連する注意>
1.用法・用量を厳守すること
2.カプセルの取り出し方
添付文書図のようにカプセルのはいっているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用すること(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながる)",15,"コウボク乾燥エキス
ソウジュツ乾燥エキス
テプレノン
銅クロロフィリンナトリウム",禁止物質なし,,
ササイサン,和漢薬研究所,第2類,胃腸薬,むかつき、胃のむかつき、二日酔のむかつき・悪酔のむかつき、嘔気、悪心,"次の量を食間に温湯又は水にて服用してください
(食間とは、食後2~3時間を指します)
15歳以上:1回1包(1.5g)
11歳以上15歳未満:1回2/3包
8歳以上11歳未満:1回1/2包
5歳以上8歳未満:1回1/3包
3歳以上5歳未満:1回1/4包
1日3回服用
3歳未満:服用しないこと
<用法・用量に関連する注意>
小児に服用させる場合には、保護者の指導監督のもとに服用させてください",3,"オウバク乾燥エキス
カンゾウ乾燥エキス
ハッカ",禁止物質なし,,
ワクナガ生薬胃腸薬,湧永製薬,第2類,胃腸薬,むかつき、胃のむかつき、二日酔のむかつき・悪酔のむかつき、嘔気、悪心,"1回次記量を食後に水又はお湯と一緒に服用してください
大人(15歳以上):1回1包
11歳以上15歳未満:1回2/3包
8歳以上11歳未満:1回1/2包
5歳以上8歳未満:1回1/3包
1日3回服用
5歳未満:服用させないでください
<用法・用量に関する注意>
1.小児に服用させる場合には、保護者の指導監督のもとに服用させてください",,"カンゾウ末
キジツ末
ケイヒ末
コウボク末
ゴシュユ末
シュクシャ末
ショウキョウ末
ソウジュツ末
チンピ末
ボレイ末",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,
オウレンいけだや,延寿堂,第2類,胃腸薬,胃弱、食欲不振、胃部膨満感・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,"大人(15歳以上):1日本品3gを、水約300mLで約半量になるまで煮詰め、滓をこして取り去り食前又は食間3回に分服する
15歳未満:服用しないこと",15,オウレン,禁止物質なし,,
オウレン末いけだや,延寿堂,第2類,胃腸薬,胃弱、食欲不振、胃部膨満感・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,"次の量を食前又は食間に服用してください
大人(15歳以上):1回0.5g
1日3回服用
15歳未満:服用しないでください
添付さじ1杯0.5g",15,オウレン末,禁止物質なし,,
フラーリンJ粒,剤盛堂薬品,第2類,胃腸薬,むかつき、胃のむかつき、二日酔のむかつき・悪酔のむかつき、嘔気、悪心,"次の量を食後に、コップ半分以上のぬるま湯にて服用してください
容器入りの場合
大人(15歳以上):1回1.5g(添付のサジ1杯)
11歳以上15歳未満:1回大人の2/3の量(1.0g)
8歳以上11歳未満:1回大人の1/2の量(0.75g)
5歳以上8歳未満:1回大人の1/3の量(0.5g)
1歳以上5歳未満:1回大人の1/4の量(0.375g)
1日3回服用
1歳未満:服用しないこと
分包品の場合
大人(15歳以上):1回1包
11歳以上15歳未満:1回2/3包
8歳以上11歳未満:1回1/2包
5歳以上8歳未満:1回1/3包
1歳以上5歳未満:1回1/4包
1日3回服用
1歳未満:服用しないこと
<用法・用量に関連する注意>
1.用法・用量を厳守すること
2.小児に服用させる場合には、保護者の指導監督のもとに服用させること",1,"オウレン末
カンゾウ末
ケイヒエキス
コウボク末
ショウキョウエキス
ニンジンエキス
ビャクジュツ末
合成ケイ酸アルミニウム
沈降炭酸カルシウム
炭酸水素ナトリウム
牛胆
酸化マグネシウム",禁止物質なし,,
新新胃腸薬S,新新薬品工業,第2類,胃腸薬,食欲減退,"次の量を食後に服用してください
15歳以上(大人):1回1包
11歳以上15歳未満:1回2/3包
8歳以上11歳未満:1回1/2包
5歳以上8歳未満:1回1/3包
1日3回服用
5歳未満:服用しないこと
1.用法・用量を厳守してください
2.小児に服用させる場合には、保護者の指導監督のもとに服用させてください",5,"カンゾウ末
ガジュツ末
ケイヒ末
シュクシャ末
ショウキョウ末
チョウジ末
ビオヂアスターゼ
ボレイ末
ロートエキス",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,
イスロ胃腸ドリンクS,ゼネル薬工粉河,第2類,胃腸薬,食欲減退,"成人(15歳以上)は1回1瓶(30mL)を1日2回服用する
但し、服用間隔は4時間以上おくこと
1.用法及び用量を厳守してください
2.15歳未満の小児は服用しないでください
3.本剤は生薬成分を配合した内服液ですので、まれに沈澱を生じることがありますよく振ってから服用してください",15,"カルニチン塩化物
ゲンチアナ流エキス
ショウキョウチンキ
人参エキス−P
延胡索乾燥エキス
蒼朮流エキス",禁止物質なし,,
大光丸,大佛堂製薬,第2類,胃腸薬,食欲減退,"15歳以上:1回20粒
11歳以上15歳未満:1回13粒
8歳以上11歳未満:1回10粒
5歳以上8歳未満:1回6粒
3歳以上5歳未満:1回5粒
1日3回食後、白湯又は水にて服用してください",,"オウバク末
オウレン末
ゲンノショウコ末
ショウキョウ末
センブリ末
ダイオウ末",禁止物質なし,,
大光丸,大佛堂製薬,第2類,胃腸薬,食欲減退,"15歳以上:1回20粒
11歳以上15歳未満:1回13粒
8歳以上11歳未満:1回10粒
5歳以上8歳未満:1回6粒
3歳以上5歳未満:1回5粒
1日3回食後、白湯又は水にて服用してください",,"オウバク末
オウレン末
ゲンノショウコ末
ショウキョウ末
センブリ末
ダイオウ末",禁止物質なし,,
大光丸,大佛堂製薬,第2類,胃腸薬,食欲減退,"15歳以上:1回20粒
11歳以上15歳未満:1回13粒
8歳以上11歳未満:1回10粒
5歳以上8歳未満:1回6粒
3歳以上5歳未満:1回5粒
1日3回食後、白湯又は水にて服用してください",,"オウバク末
オウレン末
ゲンノショウコ末
ショウキョウ末
センブリ末
ダイオウ末",禁止物質なし,,
大光丸,大佛堂製薬,第2類,胃腸薬,食欲減退,"15歳以上:1回20粒
11歳以上15歳未満:1回13粒
8歳以上11歳未満:1回10粒
5歳以上8歳未満:1回6粒
3歳以上5歳未満:1回5粒
1日3回食後、白湯又は水にて服用してください",,"オウバク末
オウレン末
ゲンノショウコ末
ショウキョウ末
センブリ末
ダイオウ末",禁止物質なし,,
オウレンダイコー,大晃生薬,第2類,胃腸薬,胃弱、食欲不振、胃部膨満感・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,"大人(15歳以上)は1日量3gを、水約300mLで約半量になるまで煮つめ、かすをこして取り去り、食前又は食間3回に分服する
(食間とは、食後2~3時間を指します)",,オウレン,禁止物質なし,,
