製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
高砂オウレン,高砂薬業,第2類,胃腸薬,胃弱、食欲不振、胃部膨満感・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,"成人（１５歳以上）は１日量３ｇを、水約３００ｍＬで約半量になるまで煮つめ、滓（カス）をこして取り去り、食前又は食間３回に分服する
（食間とは、食後２～３時間）",,オウレン,禁止物質なし,,
高砂オウレン末,高砂薬業,第2類,胃腸薬,胃弱、食欲不振、胃部膨満感・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,"成人（１５歳以上）は１回量０．５ｇ、１日３回、食前又は食間に服用する
（食間とは、食後２～３時間）",,オウレン末,禁止物質なし,,
ストーゼ胃腸内服液,東宝製薬,第2類,胃腸薬,食欲減退,"成人（１５歳以上）１回１瓶（３０ｍＬ）を１日２回服用する
服用間隔は４時間以上おくこと
１５歳未満は服用しないでください
用法・用量を厳守してください",15,"ウイキョウ流エキス
エンゴサク流エキス
カルニチン塩化物
キジツエキス
ゲンチアナ流エキス
ショウキョウ流エキス
ソウジュツ流エキス
ニンジンエキス",禁止物質なし,,
太田胃散＜内服液＞,日新薬品工業,第2類,胃腸薬,二日酔のむかつき・悪酔のむかつき、胃のむかつき、悪心,"成人（１５歳以上）１日１回、１本を食前、食後又は就寝前に服用してください
１５歳未満は服用しないでください
生薬成分を含むため、沈殿を生じることがありますが、品質に影響はありませんよく振ってから服用してください",15,"ウイキョウ流エキス
カルニチン塩化物
カンゾウ抽出物
ケイヒ流エキス
ゲンチアナ流エキス
コウボク流エキス
ショウキョウ流エキス
ソウジュツ流エキス
チョウジエキス
チンピエキス
モッコウエキス",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
ガロール健芯液,健創製薬,第2類,胃腸薬,むかつき、二日酔のむかつき・悪酔のむかつき、悪心,"次の１回量を１日３回を限度として服用する
但し、服用間隔は４時間以上おくこと
成人（１５歳以上）：１回１本
１５歳未満：服用しないこと",15,"カッコウ抽出液
カンゾウエキス
ケイヒ流エキス
ショウキョウ流エキス
ニンジンエキス
ビャクジュツエキス
塩化カルニチン
胆汁エキス",禁止物質なし,,
パンシロンソフトベール,ロート製薬,第2類,胃腸薬,むかつき、嘔気、悪心,"次の量を食後に水又はお湯で服用すること
１５歳以上：１回１カプセル
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守すること
２．カプセルの取り出し方
添付文書図のようにカプセルのはいっているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用すること（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながる）",15,"コウボク乾燥エキス
ソウジュツ乾燥エキス
テプレノン
銅クロロフィリンナトリウム",禁止物質なし,,
ササイサン,和漢薬研究所,第2類,胃腸薬,むかつき、胃のむかつき、二日酔のむかつき・悪酔のむかつき、嘔気、悪心,"次の量を食間に温湯又は水にて服用してください
（食間とは、食後２～３時間を指します）
１５歳以上：１回１包（１．５ｇ）
１１歳以上１５歳未満：１回２／３包
８歳以上１１歳未満：１回１／２包
５歳以上８歳未満：１回１／３包
３歳以上５歳未満：１回１／４包
１日３回服用
３歳未満：服用しないこと
＜用法・用量に関連する注意＞
小児に服用させる場合には、保護者の指導監督のもとに服用させてください",3,"オウバク乾燥エキス
カンゾウ乾燥エキス
ハッカ",禁止物質なし,,
ワクナガ生薬胃腸薬,湧永製薬,第2類,胃腸薬,むかつき、胃のむかつき、二日酔のむかつき・悪酔のむかつき、嘔気、悪心,"１回次記量を食後に水又はお湯と一緒に服用してください
大人（１５歳以上）：１回１包
１１歳以上１５歳未満：１回２／３包
８歳以上１１歳未満：１回１／２包
５歳以上８歳未満：１回１／３包
１日３回服用
５歳未満：服用させないでください
＜用法・用量に関する注意＞
１．小児に服用させる場合には、保護者の指導監督のもとに服用させてください",,"カンゾウ末
キジツ末
ケイヒ末
コウボク末
ゴシュユ末
シュクシャ末
ショウキョウ末
ソウジュツ末
チンピ末
ボレイ末",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
オウレンいけだや,延寿堂,第2類,胃腸薬,胃弱、食欲不振、胃部膨満感・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,"大人（１５歳以上）：１日本品３ｇを、水約３００ｍＬで約半量になるまで煮詰め、滓をこして取り去り食前又は食間３回に分服する
１５歳未満：服用しないこと",15,オウレン,禁止物質なし,,
オウレン末いけだや,延寿堂,第2類,胃腸薬,胃弱、食欲不振、胃部膨満感・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,"次の量を食前又は食間に服用してください
大人（１５歳以上）：１回０．５ｇ
１日３回服用
１５歳未満：服用しないでください
添付さじ１杯０．５ｇ",15,オウレン末,禁止物質なし,,
フラーリンＪ粒,剤盛堂薬品,第2類,胃腸薬,むかつき、胃のむかつき、二日酔のむかつき・悪酔のむかつき、嘔気、悪心,"次の量を食後に、コップ半分以上のぬるま湯にて服用してください
容器入りの場合
大人（１５歳以上）：１回１．５ｇ（添付のサジ１杯）
１１歳以上１５歳未満：１回大人の２／３の量（１．０ｇ）
８歳以上１１歳未満：１回大人の１／２の量（０．７５ｇ）
５歳以上８歳未満：１回大人の１／３の量（０．５ｇ）
１歳以上５歳未満：１回大人の１／４の量（０．３７５ｇ）
１日３回服用
１歳未満：服用しないこと
分包品の場合
大人（１５歳以上）：１回１包
１１歳以上１５歳未満：１回２／３包
８歳以上１１歳未満：１回１／２包
５歳以上８歳未満：１回１／３包
１歳以上５歳未満：１回１／４包
１日３回服用
１歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守すること
２．小児に服用させる場合には、保護者の指導監督のもとに服用させること",1,"オウレン末
カンゾウ末
ケイヒエキス
コウボク末
ショウキョウエキス
ニンジンエキス
ビャクジュツ末
合成ケイ酸アルミニウム
沈降炭酸カルシウム
炭酸水素ナトリウム
牛胆
酸化マグネシウム",禁止物質なし,,
